account_total,available_funds,total_change,daily_change,ABT,T,BRMK,GNL,LXP,PLD,SPG,STAG,WY
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
"3241,15","6,32","+882,30","-0,34","222,95","218,63","625,36","207,69","251,84","250,44","633,66","188,40","30,87"
